"","Label","Count","TopArtURL1","TopArtTitle1","TopArtURL2","TopArtTitle2","TopArtURL3","TopArtTitle3","TopArtURL4","TopArtTitle4","TopArtURL5","TopArtTitle5","TopArtURL6","TopArtTitle6","TopArtURL7","TopArtTitle7","TopArtURL8","TopArtTitle8","TopArtURL9","TopArtTitle9","TopArtURL10","TopArtTitle10"
"1",-100,2,"http://daytonatimes.com/2019/10/04/visual-viewpoint-whistleblower/","  WHISTLEBLOWER  – Daytona Times","https://blogforiowa.com/2019/11/07/jane-fonda-naomi-klein-and-betsy-reed/","Naomi Klein On Climate Deniers  They Think Their Wealth Will Protect Them  ","","","","","","","","","","","","","","","",""
"2",-99,0,"","","","","","","","","","","","","","","","","","","",""
"3",-98,0,"","","","","","","","","","","","","","","","","","","",""
"4",-97,0,"","","","","","","","","","","","","","","","","","","",""
"5",-96,0,"","","","","","","","","","","","","","","","","","","",""
"6",-95,0,"","","","","","","","","","","","","","","","","","","",""
"7",-94,0,"","","","","","","","","","","","","","","","","","","",""
"8",-93,0,"","","","","","","","","","","","","","","","","","","",""
"9",-92,0,"","","","","","","","","","","","","","","","","","","",""
"10",-91,0,"","","","","","","","","","","","","","","","","","","",""
"11",-90,0,"","","","","","","","","","","","","","","","","","","",""
"12",-89,0,"","","","","","","","","","","","","","","","","","","",""
"13",-88,0,"","","","","","","","","","","","","","","","","","","",""
"14",-87,0,"","","","","","","","","","","","","","","","","","","",""
"15",-86,0,"","","","","","","","","","","","","","","","","","","",""
"16",-85,0,"","","","","","","","","","","","","","","","","","","",""
"17",-84,0,"","","","","","","","","","","","","","","","","","","",""
"18",-83,0,"","","","","","","","","","","","","","","","","","","",""
"19",-82,0,"","","","","","","","","","","","","","","","","","","",""
"20",-81,0,"","","","","","","","","","","","","","","","","","","",""
"21",-80,0,"","","","","","","","","","","","","","","","","","","",""
"22",-79,0,"","","","","","","","","","","","","","","","","","","",""
"23",-78,0,"","","","","","","","","","","","","","","","","","","",""
"24",-77,0,"","","","","","","","","","","","","","","","","","","",""
"25",-76,0,"","","","","","","","","","","","","","","","","","","",""
"26",-75,0,"","","","","","","","","","","","","","","","","","","",""
"27",-74,0,"","","","","","","","","","","","","","","","","","","",""
"28",-73,0,"","","","","","","","","","","","","","","","","","","",""
"29",-72,0,"","","","","","","","","","","","","","","","","","","",""
"30",-71,0,"","","","","","","","","","","","","","","","","","","",""
"31",-70,0,"","","","","","","","","","","","","","","","","","","",""
"32",-69,0,"","","","","","","","","","","","","","","","","","","",""
"33",-68,0,"","","","","","","","","","","","","","","","","","","",""
"34",-67,5,"https://www.clinicaladvisor.com/home/topics/infectious-diseases-information-center/disneyland-visitors-may-have-been-exposed-to-measles/","Disneyland Visitors May Have Been Exposed to Measles","https://www.psychiatryadvisor.com/home/topics/anxiety/one-lot-of-generic-form-of-xanax-recalled-due-to-potential-contaminate/","One Lot of Generic Form of Xanax Recalled Due to Potential Contaminate","https://www.psychiatryadvisor.com/home/topics/mood-disorders/depressive-disorder/higher-rates-of-treated-depression-with-corticosteroids-interleukin-inhibitors-in-psa/","Higher Rates of Depression in Patients With Psoriatic Arthritis on Corticosteroids , Interleukin Inhibitors","https://www.psychiatryadvisor.com/home/topics/mood-disorders/depressive-disorder/psilocybin-designated-breakthrough-tx-for-major-depressive-disorder/","Psilocybin Designated as Breakthrough Therapy for Depression","https://www.psychiatryadvisor.com/home/topics/mood-disorders/depressive-disorder/novel-dextromethorphan-bupropion-formulation-provides-significant-benefits-in-mdd-trial/","Promising Findings for Dextromethorphan / Bupropion Treatment for Depression","","","","","","","","","",""
"35",-66,0,"","","","","","","","","","","","","","","","","","","",""
"36",-65,0,"","","","","","","","","","","","","","","","","","","",""
"37",-64,0,"","","","","","","","","","","","","","","","","","","",""
"38",-63,0,"","","","","","","","","","","","","","","","","","","",""
"39",-62,0,"","","","","","","","","","","","","","","","","","","",""
"40",-61,0,"","","","","","","","","","","","","","","","","","","",""
"41",-60,0,"","","","","","","","","","","","","","","","","","","",""
"42",-59,0,"","","","","","","","","","","","","","","","","","","",""
"43",-58,0,"","","","","","","","","","","","","","","","","","","",""
"44",-57,0,"","","","","","","","","","","","","","","","","","","",""
"45",-56,0,"","","","","","","","","","","","","","","","","","","",""
"46",-55,0,"","","","","","","","","","","","","","","","","","","",""
"47",-54,1,"http://freerepublic.com/focus/f-chat/3803844/posts","Salon Marcotte :  Merry Christmas ! Is Conservative Code For  F *** You ! ","","","","","","","","","","","","","","","","","",""
"48",-53,1,"http://freerepublic.com/focus/f-news/3795327/posts","UC Berkeley braces for protests against Ann Coulter event","","","","","","","","","","","","","","","","","",""
"49",-52,0,"","","","","","","","","","","","","","","","","","","",""
"50",-51,0,"","","","","","","","","","","","","","","","","","","",""
"51",-50,5,"https://www.renalandurologynews.com/home/news/nephrology/chronic-kidney-disease-ckd/models-can-predict-risk-for-incident-chronic-kidney-disease/","Models Can Predict Risk for Incident Chronic Kidney Disease","https://www.sandiegouniontribune.com/news/nation-world/story/2019-11-21/former-baltimore-mayor-catherine-pugh-pleads-guilty-to-conspiracy-tax-evasion-charges-pleads-not-guilty-to-wire-fraud","Former Baltimore Mayor Catherine Pugh pleads guilty to conspiracy , tax evasion charges ; pleads not guilty to wire fraud","https://news.yahoo.com/turkeys-plan-flood-europe-millions-111807442.html","Turkey plan to flood Europe with millions of refugees if it is condemned for attacking Syria is a real and dangerous threat , officials warn","https://www.knoxnews.com/news/","News | Knoxville News Sentinel","https://www.newhavenindependent.org/index.php/archives/entry/todays_debates604/","Today Debates | New Haven Independent","","","","","","","","","",""
"52",-49,0,"","","","","","","","","","","","","","","","","","","",""
"53",-48,2,"https://abcnews.go.com/US/wireStory/baltimore-mayor-catherine-pugh-pleads-guilty-conspiracy-tax-67203458","Former Baltimore Mayor Catherine Pugh pleads guilty to conspiracy , tax evasion charges ; pleads not guilty to wire fraud","https://www.nampa.org/index.php?model=categories&function=display&id=19625694","Namibia Press Agency","","","","","","","","","","","","","","","",""
"54",-47,0,"","","","","","","","","","","","","","","","","","","",""
"55",-46,0,"","","","","","","","","","","","","","","","","","","",""
"56",-45,4,"http://rock937online.com/former-nba-commissioner-david-stern-suffers-brain-hemorrhage/","Former NBA commissioner David Stern suffers brain hemorrhage","http://literock959.com/former-nba-commissioner-david-stern-suffers-brain-hemorrhage/","Former NBA commissioner David Stern suffers brain hemorrhage","http://rock937online.com/retired-nba-commissioner-david-stern-suffers-brain-hemorrhage/","Retired NBA commissioner David Stern suffers brain hemorrhage","http://literock959.com/nba-commissioner-emeritus-suffers-brain-hemorrhage/","NBA Commissioner Emeritus suffers brain hemorrhage","","","","","","","","","","","",""
"57",-44,2,"https://www.hltv.org/matches/2337319/tricked-vs-north-ecs-season-8-europe-week-5","Tricked vs . North at ECS Season 8 Europe Week 5","https://www.hltv.org/matches/2336979/virtuspro-vs-tricked-ecs-season-8-europe-week-3","Virtus . pro vs . Tricked at ECS Season 8 Europe Week 3","","","","","","","","","","","","","","","",""
"58",-43,20,"https://politicalcartoons.com/cartoonist/steve-greenberg/","Politicalcartoons . com","https://www.waaytv.com/weather/santa-tracker/","Santa Tracker","http://www.allmediany.com/news/?urlName=must-watch&newsId=118871","AllmediaNY","http://www.allmediany.com/news/118881-twitter-warns-android-users-to-update-app","AllmediaNY","http://www.allmediany.com/news/?urlName=popular-news&newsId=118875","AllmediaNY","http://www.allmediany.com/news/?urlName=popular-news&newsId=118877","AllmediaNY","http://www.allmediany.com/news/?urlName=popular-news&newsId=118874","AllmediaNY","http://www.allmediany.com/news/?urlName=must-watch&newsId=118870","AllmediaNY","http://www.allmediany.com/news/118880-totok-reportedly-a-uae-spy-tool","AllmediaNY","http://www.allmediany.com/news/?urlName=must-watch&newsId=118873","AllmediaNY"
"59",-42,1,"http://www.kcchronicle.com/2019/12/16/top-20-former-geneva-doctor-convicted-of-sexual-assault/ap97tpi/","Top 20 : Former Geneva doctor convicted of sexual assault","","","","","","","","","","","","","","","","","",""
"60",-41,1,"https://www.pressenterpriseonline.com/daily/102419/page/13/story/in-the-nation","IN THE NATION","","","","","","","","","","","","","","","","","",""
"61",-40,7,"http://www.allmediany.com/news/118781-impeachment-trial-trump-a-threat-to-democracy","AllmediaNY","http://www.max94one.com/news/man-leaves-gay-pre-teen-relative-outside-police-station/","Man Leaves  Gay  Pre - teen Relative Outside Police Station","http://www.wynn1063.com/news/man-leaves-gay-pre-teen-relative-outside-police-station/","Man Leaves  Gay  Pre - teen Relative Outside Police Station","http://rock937online.com/colts-wide-receiving-corps-devastated-by-injuries-chester-rogers-just-the-latest-victim/","Colt wide receiving corps devastated by injuries : Chester Rogers just the latest victim","http://www.allmediany.com/articles/74680-notorious-australian-serial-killer-dies-in-prison","AllmediaNY","http://www.allmediany.com/articles/74264-hong-kong-protesters-vent-anger-over-shooting","AllmediaNY","https://worthplaying.com/game/12283/","Worthplaying | Infected Shelter","","","","","",""
"62",-39,7,"http://freerepublic.com/focus/f-religion/3800468/posts","UK [ Catholic ] Diocese Celebrates Muhammad , Eastern Guru","https://www.sandiegouniontribune.com/news/nation-world/story/2019-10-23/hong-kong-government-formally-withdraws-unpopular-extradition-bill-that-sparked-chaotic-protest-movement","Hong Kong government formally withdraws unpopular extradition bill that sparked chaotic protest movement","http://www.nampa.org/index.php?model=categories&function=display&id=19453222","Namibia Press Agency","https://www.nampa.org/index.php?model=categories&function=display&id=19518037","Namibia Press Agency","https://www.nampa.org/index.php?model=categories&function=display&id=19582144","Namibia Press Agency","https://www.sandiegouniontribune.com/news/nation-world/story/2019-11-19/2-jail-guards-charged-with-falsifying-prison-records-the-night-jeffrey-epstein-killed-himself-have-pleaded-not-guilty","2 jail guards charged with falsifying prison records the night Jeffrey Epstein killed himself have pleaded not guilty","https://www.sandiegouniontribune.com/news/nation-world/story/2019-12-30/sudanese-court-sentences-27-security-forces-to-death-for-torturing-killing-a-detained-protester-in-countrys-uprising","Sudanese court sentences 27 security forces to death for torturing , killing a detained protester in country uprising","","","","","",""
"63",-38,5,"https://www.hltv.org/matches/2338025/furia-vs-marskalk-dreamhack-open-winter-2019","FURIA vs . Marskalk at DreamHack Open Winter 2019","https://www.sandiegouniontribune.com/news/nation-world/story/2019-11-26/bangladesh-tribunal-sentences-7-militants-to-death-for-involvement-in-deadly-cafe-attack-that-killed-foreigners","Bangladesh tribunal sentences 7 militants to death for involvement in deadly cafe attack that killed foreigners","https://www.hltv.org/matches/2337368/fnatic-vs-faze-esl-pro-league-season-10-europe","fnatic vs . FaZe at ESL Pro League Season 10 Europe","https://247wallst.com/special-report/2019/12/06/most-important-human-rights-milestones-since-2000/5/","Most Important Human Rights Milestones Since 2000 - Page 5","https://www.sandiegouniontribune.com/news/nation-world/story/2019-10-05/ap-newsalert","AP NewsAlert","","","","","","","","","",""
"64",-37,16,"https://www.roanoke.com/opinion/letters/letter-how-does-it-differ/article_ce025c60-79f1-5c21-99fd-f234334180a1.html","Letter : How does it differ ? ","http://www.pauldavisoncrime.com/search/label/From%20Russia%20With%20Blood:%20The%20Kremlin","Paul Davis On Crime : From Russia With Blood : The Kremlin","http://www.allmediany.com/news/118757-cyber-attack-targeted-epileptics-by-hacking-epilepsy-foundation","AllmediaNY","http://www.pauldavisoncrime.com/search/label/Dennis","Paul Davis On Crime : Dennis","http://www.pauldavisoncrime.com/search/label/sale%20of%20Ian%20Fleming","Paul Davis On Crime : sale of Ian Fleming","https://www.liveleak.com/view?t=CRLOM_1573539295","Liveleak . com - Stolen Weed Leads to Broken Legs","http://www.pauldavisoncrime.com/search/label/Edward%20R.%20Davis","Paul Davis On Crime : Edward R . Davis","http://www.pauldavisoncrime.com/search/label/Kindy","Paul Davis On Crime : Kindy","http://www.pauldavisoncrime.com/search/label/Goodfellas%20Don","Paul Davis On Crime : Goodfellas Don","http://www.pauldavisoncrime.com/search/label/The%20Teacher","Paul Davis On Crime : The Teacher"
"65",-36,19,"https://abcnews.go.com/US/wireStory/ap-newsalert-66086656","AP NewsAlert","https://wgem.com/2019/12/18/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales-on-sedition-terrorism-charges/","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://week.com/2019/12/18/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales-on-sedition-terrorism-charges/","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://www.khq.com/national/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales/article_79c05d0c-6f88-5fb8-acd8-d01f584c9fa2.html","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","http://www.ccenterdispatch.com/news/national/article_f8973774-a59d-53ee-91a8-2e58d3a40e74.html","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://kwwl.com/2019/12/18/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales-on-sedition-terrorism-charges/","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://kvoa.com/ap-national-news/2019/12/18/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales-on-sedition-terrorism-charges/","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://waow.com/2019/12/18/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales-on-sedition-terrorism-charges/","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://wkow.com/2019/12/18/bolivia-prosecutors-issue-arrest-warrant-for-former-president-evo-morales-on-sedition-terrorism-charges/","Bolivia prosecutors issue arrest warrant for former President Evo Morales on sedition , terrorism charges","https://abcnews.go.com/International/wireStory/hong-kong-government-formally-withdraws-unpopular-extradition-bill-66462723","Hong Kong government formally withdraws unpopular extradition bill that sparked chaotic protest movement"
"66",-35,3,"https://theknow.denverpost.com/2019/10/05/denver-zombie-crawl-2019/225855/","PHOTOS : Hundreds of Zombies invaded the 16th street mall in downtown Denver","https://trib.com/announcements/other/book-ins/article_3f8a7c65-d209-5dcb-a2d3-67955788daf7.html","Book - ins | Announcements","https://www.hltv.org/matches/2338065/astralis-vs-liquid-esl-pro-league-season-10-finals","Astralis vs . Liquid at ESL Pro League Season 10 Finals","","","","","","","","","","","","","",""
